<roll>;<pitch>;<yaw>;<time_to_reach_in_ms>;<optional comment>
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
40.000;0.000;0.000;010;
39.998;0.000;0.000;010;
39.992;0.000;0.000;010;
39.982;0.000;0.000;010;
39.968;0.000;0.000;010;
39.950;0.000;0.000;010;
39.928;0.000;0.000;010;
39.902;0.000;0.000;010;
39.872;0.000;0.000;010;
39.838;0.000;0.000;010;
39.800;0.000;0.000;010;
39.758;0.000;0.000;010;
39.712;0.000;0.000;010;
39.662;0.000;0.000;010;
39.608;0.000;0.000;010;
39.550;0.000;0.000;010;
39.488;0.000;0.000;010;
39.422;0.000;0.000;010;
39.352;0.000;0.000;010;
39.278;0.000;0.000;010;
39.200;0.000;0.000;010;
39.118;0.000;0.000;010;
39.032;0.000;0.000;010;
38.942;0.000;0.000;010;
38.848;0.000;0.000;010;
38.750;0.000;0.000;010;
38.648;0.000;0.000;010;
38.542;0.000;0.000;010;
38.432;0.000;0.000;010;
38.318;0.000;0.000;010;
38.200;0.000;0.000;010;
38.078;0.000;0.000;010;
37.952;0.000;0.000;010;
37.822;0.000;0.000;010;
37.688;0.000;0.000;010;
37.550;0.000;0.000;010;
37.408;0.000;0.000;010;
37.262;0.000;0.000;010;
37.112;0.000;0.000;010;
36.958;0.000;0.000;010;
36.800;0.000;0.000;010;
36.638;0.000;0.000;010;
36.472;0.000;0.000;010;
36.302;0.000;0.000;010;
36.128;0.000;0.000;010;
35.950;0.000;0.000;010;
35.768;0.000;0.000;010;
35.582;0.000;0.000;010;
35.392;0.000;0.000;010;
35.198;0.000;0.000;010;
35.000;0.000;0.000;010;
34.798;0.000;0.000;010;
34.592;0.000;0.000;010;
34.382;0.000;0.000;010;
34.168;0.000;0.000;010;
33.950;0.000;0.000;010;
33.728;0.000;0.000;010;
33.502;0.000;0.000;010;
33.272;0.000;0.000;010;
33.038;0.000;0.000;010;
32.800;0.000;0.000;010;
32.558;0.000;0.000;010;
32.312;0.000;0.000;010;
32.062;0.000;0.000;010;
31.808;0.000;0.000;010;
31.550;0.000;0.000;010;
31.288;0.000;0.000;010;
31.022;0.000;0.000;010;
30.752;0.000;0.000;010;
30.478;0.000;0.000;010;
30.200;0.000;0.000;010;
29.918;0.000;0.000;010;
29.632;0.000;0.000;010;
29.342;0.000;0.000;010;
29.048;0.000;0.000;010;
28.750;0.000;0.000;010;
28.448;0.000;0.000;010;
28.142;0.000;0.000;010;
27.832;0.000;0.000;010;
27.518;0.000;0.000;010;
27.200;0.000;0.000;010;
26.878;0.000;0.000;010;
26.552;0.000;0.000;010;
26.222;0.000;0.000;010;
25.888;0.000;0.000;010;
25.550;0.000;0.000;010;
25.208;0.000;0.000;010;
24.862;0.000;0.000;010;
24.512;0.000;0.000;010;
24.158;0.000;0.000;010;
23.800;0.000;0.000;010;
23.438;0.000;0.000;010;
23.072;0.000;0.000;010;
22.702;0.000;0.000;010;
22.328;0.000;0.000;010;
21.950;0.000;0.000;010;
21.568;0.000;0.000;010;
21.182;0.000;0.000;010;
20.792;0.000;0.000;010;
20.398;0.000;0.000;010;
20.000;0.000;0.000;010;
19.602;0.000;0.000;010;
19.208;0.000;0.000;010;
18.818;0.000;0.000;010;
18.432;0.000;0.000;010;
18.050;0.000;0.000;010;
17.672;0.000;0.000;010;
17.298;0.000;0.000;010;
